rank,discipline,yrs.since.phd,yrs.service,sex,salary
3,1,19,18,2,139.75
3,1,20,16,2,173.2
1,1,4,3,2,79.75
3,1,45,39,2,115
3,1,40,41,2,141.5
2,1,6,6,2,97
3,1,30,23,2,175
3,1,45,45,2,147.765
3,1,21,20,2,119.25
3,1,18,18,1,129
2,1,12,8,2,119.8
1,1,7,2,2,79.8
1,1,1,1,2,77.7
1,1,2,0,2,78
3,1,20,18,2,104.8
3,1,12,3,2,117.15
3,1,19,20,2,101
3,2,38,34,2,103.45
3,2,37,23,2,124.75
3,2,39,36,1,137
3,2,31,26,2,89.565
3,2,36,31,2,102.58
3,2,34,30,2,93.904
3,2,24,19,2,113.068
2,2,13,8,1,74.83
3,2,21,8,2,106.294
3,2,35,23,2,134.885
1,1,5,3,2,82.379
1,1,11,0,2,77
3,1,12,8,2,118.223
3,1,20,4,2,132.261
1,1,7,2,2,79.916
3,1,13,9,2,117.256
1,1,4,2,2,80.225
1,1,4,2,1,80.225
1,1,5,0,1,77
3,1,22,21,2,155.75
1,1,7,4,2,86.373
3,1,41,31,2,125.196
2,1,9,9,2,100.938
3,1,23,2,2,146.5
2,1,23,23,2,93.418
3,1,40,27,2,101.299
3,1,38,38,2,231.545
3,1,19,19,2,94.384
3,1,25,15,2,114.778
3,1,40,28,2,98.193
3,1,23,19,1,151.768
3,1,25,25,1,140.096
1,1,1,1,2,70.768
3,1,28,28,2,126.621
3,1,12,11,2,108.875
1,1,11,3,1,74.692
3,1,16,9,2,106.639
2,1,12,11,2,103.76
2,1,14,5,2,83.9
3,1,23,21,2,117.704
2,1,9,8,2,90.215
2,1,10,9,2,100.135
1,1,8,3,2,75.044
2,1,9,8,2,90.304
1,1,3,2,2,75.243
3,1,33,31,2,109.785
2,1,11,11,1,103.613
1,1,4,3,2,68.404
2,1,9,8,2,100.522
3,1,22,12,2,101
3,1,35,31,2,99.418
3,1,17,17,1,111.512
3,1,28,36,2,91.412
3,1,17,2,2,126.32
3,1,45,45,2,146.856
3,1,29,19,2,100.131
3,1,35,34,2,92.391
3,1,28,23,2,113.398
1,1,8,3,2,73.266
3,1,17,3,2,150.48
3,1,26,19,2,193
1,1,3,1,2,86.1
1,1,6,2,2,84.24
3,1,43,28,2,150.743
