prof,age,sex,minority,native,track,beauty,eval,courses
1,36,female,1,1,1,0.29,4,4
2,59,male,0,1,1,-0.74,3.53,3
3,51,male,0,1,1,-0.57,3.45,2
4,40,female,0,1,1,-0.68,4.01,8
5,31,female,0,1,1,1.51,4.35,6
6,62,male,0,1,1,0.59,4.44,7
7,33,female,0,1,1,-0.13,3.84,5
8,51,female,0,1,1,-0.26,4.03,7
9,33,female,0,1,1,0.15,4.26,7
10,47,male,0,1,2,0.54,4.56,10
11,35,male,1,0,1,0.23,3.27,3
12,37,male,0,1,2,-0.07,4.12,5
13,42,male,0,1,1,0.22,3.76,7
14,49,male,0,0,1,-0.26,3.58,4
15,37,female,0,1,1,0.55,3.05,4
16,45,male,0,1,1,-0.06,4.13,6
17,56,female,0,1,2,-0.98,4.14,5
18,48,male,0,1,2,-0.05,4.05,8
19,46,female,0,1,1,-0.07,4.34,9
20,57,female,0,1,2,0.03,3.48,10
21,52,female,0,1,2,0.24,3.6,6
22,29,female,1,0,1,-0.85,3.3,1
23,62,male,0,1,1,-0.73,3.9,5
24,64,male,0,1,1,-0.11,4.47,7
25,34,female,0,1,1,1.78,4.25,2
26,58,male,0,1,1,-0.32,4,5
27,52,male,1,0,1,0.21,3.99,7
28,73,male,0,1,1,-0.72,3.9,4
29,70,male,0,1,1,-0.73,3.83,4
30,41,female,0,1,1,0.41,2.3,1
31,63,male,0,1,2,-0.01,3.67,7
32,47,male,0,1,1,-0.92,3.8,3
33,39,male,0,1,1,0.58,4.16,5
34,47,female,1,1,1,-0.08,3.68,13
35,54,male,0,1,1,-1.08,4.27,3
36,44,female,1,1,1,1.04,3.72,4
37,47,male,1,1,1,-1.05,3.64,8
38,62,male,0,1,1,-0.73,4.13,3
39,60,male,0,1,1,-0.4,4.44,8
40,37,male,0,1,1,0.93,3.5,1
41,42,male,0,1,1,-0.24,4.66,5
42,35,male,0,1,1,0.27,4.45,4
43,39,female,0,1,2,1.97,4.08,4
44,49,male,0,1,1,1.05,3.93,3
45,61,male,0,1,1,0.24,4.45,4
46,33,male,0,1,1,1.35,3.8,3
47,58,female,0,1,1,0.11,3.5,1
48,56,female,0,1,1,-0.26,3.47,3
49,50,female,0,1,2,-0.66,3.84,7
50,52,male,0,1,1,-0.66,4.02,13
51,33,female,0,1,1,0.72,4.6,6
52,57,male,0,1,1,0.63,4.22,4
53,38,female,0,1,1,1.07,4.47,7
54,34,female,0,1,1,-1.45,3.72,6
55,34,male,0,1,1,1.16,3.27,3
56,32,male,0,1,1,-0.33,3.94,5
57,42,female,0,1,1,0.88,3.9,2
58,43,female,0,1,1,-0.56,3.91,10
59,35,male,0,0,1,-0.34,3.35,2
60,62,female,0,1,1,-0.5,2.97,3
61,42,male,0,1,1,-0.9,4,1
62,39,male,0,1,1,0.64,4.3,1
63,52,female,0,1,1,0.77,3.8,2
64,52,female,0,1,1,1.06,3.63,3
65,52,female,0,1,2,-1.09,4.01,7
66,64,male,0,1,1,-1.07,3.68,6
67,50,male,0,1,1,1.42,3.95,2
68,60,male,0,1,1,-1.42,2.57,3
69,51,female,0,1,1,0.39,3,1
70,43,male,0,1,1,-0.49,4.51,9
71,50,male,1,1,2,-0.58,4.78,10
72,52,male,0,1,1,0.76,3.85,6
73,51,male,0,1,1,0.88,4.58,5
74,38,male,0,1,1,-0.57,3.85,4
75,47,female,0,1,1,0.34,3.6,2
76,43,female,1,1,1,-0.15,3.2,2
77,38,female,0,1,2,-1.02,3.95,6
78,43,male,0,1,1,-0.03,3.98,4
79,57,male,0,1,1,-0.75,3.8,3
80,51,female,0,1,1,0.99,3.83,4
81,45,male,0,1,2,-0.53,4.55,4
82,57,male,0,1,1,-0.77,4.05,11
83,47,female,0,1,2,1.15,4.18,5
84,54,female,1,1,1,1.23,4.26,5
85,58,male,0,1,2,1.77,4.79,8
86,42,male,0,1,1,1.77,4.27,3
87,33,male,0,1,1,0.72,4.2,2
88,62,male,0,1,1,-1.18,3.16,7
89,35,female,1,1,1,1.77,3.6,3
90,61,male,0,1,1,-0.59,3.75,2
91,52,female,0,1,1,0,4.47,3
92,60,female,0,0,1,-0.06,3.91,7
93,32,male,0,1,1,1.23,4.15,6
94,42,female,1,0,1,0.42,3.47,4
