simplicity,fatalism,depression
0.92983,0.35589,0.5987
0.91097,1.18439,0.72787
0.53366,-0.05837,0.53411
0.74118,0.35589,0.56641
0.53366,0.77014,0.50182
0.62799,1.39152,0.56641
0.77891,0.35589,0.46953
0.8355,0.56301,0.53411
0.5148,0.77014,0.46953
0.87323,0.35589,0.46953
0.53366,0.56301,0.46953
0.74118,0.35589,0.63099
0.68458,-0.05837,0.46953
0.47707,0.97727,0.56641
0.76004,0.97727,0.66329
0.98643,1.39152,0.72787
0.36387,0.56301,0.56641
0.8355,1.18439,0.56641
0.55253,0.77014,0.5987
0.38274,0.56301,0.56641
0.53366,0.56301,0.46953
0.70345,1.39152,0.5987
1.11848,0.97727,0.69558
0.74118,0.56301,0.66329
0.57139,0.97727,0.63099
0.70345,0.77014,0.46953
0.47707,0.56301,0.46953
0.57139,0.35589,0.50182
0.64685,0.77014,0.53411
0.85437,1.18439,0.53411
1.09962,0.97727,0.63099
1.19394,0.97727,0.5987
0.57139,0.56301,0.46953
1.04302,0.56301,0.5987
1.28827,0.97727,0.72787
0.25068,1.18439,0.50182
0.47707,0.77014,0.50182
0.91097,0.35589,0.56641
0.47707,0.35589,0.53411
0.77891,-0.05837,0.53411
0.38274,0.56301,0.46953
1.3826,0.77014,1.30915
1.2694,1.59865,1.34144
0.72231,0.97727,1.14768
1.00529,0.97727,1.21227
0.98643,0.97727,1.11539
0.5148,0.97727,1.0831
1.68444,1.39152,1.37373
1.2694,0.97727,1.01851
2.08061,1.39152,1.27685
1.04302,0.97727,1.17997
0.92983,0.97727,1.0831
1.59011,1.59865,1.14768
0.77891,1.18439,1.11539
1.23167,1.39152,1.27685
1.34487,1.59865,1.37373
0.47707,0.97727,1.14768
1.30714,1.18439,1.14768
1.42033,1.59865,1.21227
1.326,1.18439,1.27685
1.09962,0.56301,0.92163
1.02416,0.56301,1.21227
0.8921,0.97727,1.79354
1.00529,1.18439,1.69666
2.85408,2.22003,1.5352
0.68458,1.39152,1.59979
2.11834,2.0129,1.50291
1.57125,1.18439,1.92272
1.74104,2.0129,2.0196
0.87323,0.77014,1.76125
0.72231,1.59865,2.24565
1.74104,1.80577,2.05189
0.81664,1.39152,1.40603
1.30714,1.59865,1.66437
0.70345,0.97727,1.43832
1.85423,1.59865,1.63208
2.26926,1.59865,1.85813
1.04302,1.80577,1.47061
1.79763,2.22003,1.40603
2.11834,0.77014,2.0196
1.42033,1.18439,1.47061
0.98643,1.18439,1.56749
