gender,hours_study,hours_sleep,nights_out,gpa
female,50,6,3,3.89
female,15,6,1,3.9
female,15,7,1,3.75
male,10,6,4,3.6
female,25,7,3,4
male,20,7,3,3.15
female,15,6,1,3.25
female,10,8,3,3.925
female,12,8,2,3.428
male,2,8,4,3.8
female,10,8,1,3.9
female,30,6,2,2.9
female,30,7,2,3.925
female,21,9,3,3.65
female,10,8.5,3.5,3.75
male,14,6.5,3,4.67
male,12,7.5,3.5,3.1
female,12,8,1,3.8
female,4,9,3,3.4
female,45,6.5,1.5,3.575
female,6,7,2.5,3.85
female,10,7,3,3.4
male,12,8,2,3.5
female,13,6,3.5,3.6
female,35,8,4,3.825
female,10,8,3,3.925
female,40,8,3,4
female,14,9,3,3.425
female,30,6,0,3.75
female,8,6,0,3.15
female,8,6.5,2,3.4
female,20,7,1,3.7
female,40,7,1,3.36
male,15,7,1.5,3.7
female,25,5,1,3.7
female,10,7,2,3.6
female,18,7,1.5,3.825
female,15,6,1,3.2
male,30,8,3,3.5
female,11,7,1.5,3.5
female,28,6,1.5,3
female,4,7,1.5,3.98
male,4,5,1,3.7
female,25,7.5,2.5,3.81
female,42,5,1,4
male,3,7,2,3.1
male,42,9,2,3.4
male,25,8,2,3.5
female,20,6,2,3.65
female,7,8,2,3.7
female,6,8,1,3.1
female,20,7,3,4
female,45,6,2,3.35
female,30,7.5,1.5,3.541
female,20,6,3,2.9
