condition,score
1,45
1,64
1,50
1,30
1,62.3
1,41.7
1,44
1,75.9
1,51
1,39.4
1,43.6
1,48.2
1,57.4
1,44.3
1,59.8
1,57.2
1,39.1
1,31.3
1,50.6
1,39.4
2,57.8
2,54.8
2,50.8
2,60.2
2,37.7
2,62.5
2,71.2
2,39
2,30.9
2,49.3
2,41.7
2,72.5
2,41.9
2,64.6
2,37.9
2,51.9
2,52.1
2,54.7
2,47.5
2,38.7
3,58.7
3,43.4
3,57
3,31.2
3,61.8
3,55.5
3,68.2
3,42.1
3,42.6
3,51.8
3,49.1
3,63.5
3,56.2
3,51.3
3,52.4
3,47.4
3,40.3
3,51.1
3,53.8
3,44.2
4,40.9
4,52.7
4,53.4
4,31.3
4,40.1
4,49.3
4,49.8
4,49.4
4,52.8
4,52.8
4,57.5
4,52.9
4,52.3
4,64.9
4,56.5
4,56.5
4,59.9
4,55.3
4,46.3
4,56
5,42.4
5,66.2
5,51.7
5,44.6
5,57
5,44.3
5,65.6
5,52
5,43.1
5,52.2
5,55.4
5,48.8
5,40.8
5,45.3
5,32.9
5,49.2
5,28.6
5,61.9
5,32.9
5,40.8
