pre_00,post_00,pre_10,post_10,pre_20,post_20,pre_30,post_30,pre_40,post_40,pre_50,post_50,pre_60,post_60,pre_70,post_70,pre_80,post_80,pre_90,post_90
48.55,42.57,38.62,58.93,44.34,39.85,45.48,37.47,50.26,71.97,44,54.44,52.15,52.37,46.87,54.36,42.54,36.94,47.34,45.64
59.98,54.94,62.84,45.95,63.08,59.08,42.28,36.37,45.11,38.8,50.43,29.33,57.06,55.42,43.95,58.19,52.02,52.97,63.15,70.22
61.54,38.71,38.01,59.81,41.42,51.95,58.11,51.38,54.61,47.16,45.45,48.55,37.8,37.83,62.15,48.92,62.47,59.98,52.38,64.65
36.75,57.94,56.75,53.5,36.28,58.61,33.68,55.86,37.96,53.06,29.83,46.94,45.69,45.25,40.47,43.35,34.37,36.63,60.95,64.95
54.65,53.32,41.83,75.58,53.06,43.73,70.47,69.04,52.18,50.94,45.06,50.9,48.29,54.46,52.78,59.08,40.46,45.35,43.07,43.71
52.31,77.92,70.58,47.86,59.72,49.02,39.43,58.11,47.49,49.11,65.68,63.87,37.9,51.93,55.32,54.95,51.7,48.39,36.04,41.01
39.54,64.19,61.01,68.79,48.25,65.24,56.63,61.6,35.09,48.38,43.4,48.37,49.59,53.14,58.78,52.83,48.2,44.38,59.75,62.04
57.42,55.89,48.67,40.43,48.17,38.36,59.26,55.63,49.48,45.85,41.83,46.17,74.31,73.59,39.66,32.75,60.74,58.46,51.46,53.25
42.78,51.47,62.51,59.24,58.93,64.12,50.5,51.4,52.68,47.32,47.28,58.33,56.76,42.33,38.45,52.2,47.91,50.59,43.64,46.3
37.48,62.3,58.46,47.88,69.49,65.42,30.28,55.95,59.32,59.12,64.26,59.63,42.51,59.14,44.55,44.65,48.15,44.27,51.19,50.87
57.94,47.92,38.81,51.43,32.21,60.88,51.18,58.34,48.85,48.09,39.59,51.63,55.15,59.62,58.8,70.91,72.28,76.31,36.37,43.04
54.07,54.5,50.52,52.6,61.37,64.87,41.67,30.51,59.55,53.92,55.76,57.23,44.49,45.45,54.19,49.98,44.6,52.96,64.87,59.35
53.87,48.29,42.2,40.79,46.84,54.21,57.85,47.16,26.87,44.45,42.6,58.58,49.08,59.23,33.68,47.67,70.33,66.32,33.9,42.82
48.44,51.95,58.24,59.16,60.76,49.51,56.68,57.41,51.52,49.35,45.22,57.23,60.98,58.92,35.09,42.29,50.42,62.32,60.52,65.49
68.62,67.49,45.3,49.73,34.87,54.76,54.42,50.73,58.48,62.47,44.23,48.32,52.33,37.78,64.14,65.63,42.31,59.47,40.15,36.89
27.96,45.92,49.71,63.97,48.93,53.35,62.62,53.11,36.14,43.42,56.01,60.33,63.39,65.7,61.78,73.59,47.01,50.42,44.35,50.79
39.19,47.58,38.8,33.38,42.95,52.76,48.79,72.34,66.99,45.8,52.06,31.81,56.24,59.11,60.76,58.85,52.15,54.87,51.53,51.01
56.25,41.24,41.49,48.48,49.79,41.46,42.18,56.28,63.9,70.8,58.72,59.03,34.96,33.56,60.78,58.9,52.23,64.63,55.13,62.33
50.85,57.56,54.57,54.94,47.16,31.02,46.18,48.78,52.11,74.83,58.46,57.03,44.76,57.44,42.59,44.61,38.34,46.56,63.7,61.63
51.8,38.31,41.07,47.55,52.42,61.8,52.31,52.53,51.42,55.15,70.12,72.28,36.56,57.74,45.22,46.3,41.78,48.19,40.5,44.01
