gender,minority,deprived_area,mental_wellbeing,watch_wd,watch_we,play_wd,play_we,compute_wd,compute_we,phone_wd,phone_we
female,no,yes,61,6,7,3,3,6,7,5,6
male,yes,no,48,7,7,4,6,2,1,5,6
female,no,yes,65,2,2,0,0,3,5,7,7
male,yes,no,55,3,3,0,0,0,0,5,6
male,yes,yes,48,2,3,0.5,1,0.5,0.5,0.5,0
female,no,no,32,2,3,0,0,4,4,2,4
male,yes,yes,45,1,4,0,3,2,2,0.5,0.5
female,no,yes,58,3,3,0,1,0,2,2,4
male,no,no,50,0.5,2,0,0.5,0.5,0.5,1,2
male,no,yes,41,5,7,0,0,0,0,0,0
male,yes,no,62,0.5,2,0,0,0,0,0.5,0.5
male,no,no,54,2,1,2,4,2,0.5,2,4
male,no,no,54,0,2,3,4,0,0,3,3
male,no,no,42,2,5,5,7,3,5,7,7
male,no,no,54,1,2,0,0,2,1,0,0
male,no,no,53,0.5,1,1,2,0.5,0.5,0,0
male,no,no,53,2,4,2,5,1,4,0,0
female,no,no,37,7,6,0,0,5,0,7,7
male,no,no,50,1,0.5,2,1,0.5,0.5,4,3
male,no,no,56,4,6,4,4,3,4,5,7
female,no,yes,38,1,5,0,1,6,7,7,7
male,no,no,51,5,7,0,0,6,4,0.5,2
male,no,no,48,3,3,1,2,0.5,0.5,2,4
female,no,yes,64,2,4,0,0,0,0,0,2
female,no,yes,39,0.5,1,0,0.5,0,1,4,5
female,no,no,45,2,4,1,3,2,3,2,4
male,no,no,47,2,3,1,6,3,3,1,1
female,yes,no,47,1,2,0,0,1,1,3,6
female,no,no,62,1,3,0,1,2,3,2,4
male,no,yes,59,3,5,1,1,5,2,3,3
female,yes,no,47,3,5,0,0,1,1,3,6
female,no,no,56,0,1,0,0,7,7,0.5,3
male,yes,yes,43,2,4,1,2,0.5,1,5,6
male,no,yes,26,3,3,7,7,0,0,3,4
male,yes,no,29,1,4,1,1,1,7,7,7
female,no,no,29,4,4,2,2,4,4,7,7
female,no,no,63,1,2,0,0,3,3,2,2
female,no,yes,56,5,6,0,0,5,3,6,7
female,yes,no,51,2,3,0,0,0,1,6,7
female,no,no,51,2,1,0,0,0,0,2,2
female,yes,yes,52,3,2,1,0.5,1,3,0.5,0.5
male,no,no,55,4,6,4,5,0.5,0.5,2,2
female,no,yes,43,6,3,0,0,0,0,4,3
male,no,yes,49,3,3,0,0,1,3,1,2
female,no,no,50,3,2,0,0,0.5,1,2,4
male,no,no,50,4,5,0,5,3,2,3,3
female,no,yes,45,2,5,0.5,3,0.5,2,3,5
female,yes,yes,46,0.5,3,0,0,4,3,0.5,0.5
female,no,yes,60,0.5,1,0.5,2,2,3,4,6
male,no,no,53,2,3,1,4,1,2,1,1
female,no,yes,54,0.5,1,0,0,1,2,2,4
female,no,no,52,2,4,0,0,2,0.5,3,5
male,no,no,52,3,3,0,2,0.5,0,1,3
male,no,no,42,7,7,7,7,7,7,7,7
female,no,no,46,1,2,0,0,1,1,1,1
female,no,no,51,1,3,0,0.5,4,7,7,6
female,yes,yes,51,2,3,0,0,4,4,2,2
female,no,no,54,0.5,2,0,0,0,0,2,3
female,no,no,37,7,7,0,0,1,2,7,7
female,no,no,37,2,5,0,0,2,0.5,4,2
female,no,no,45,1,2,0,0,1,3,3,5
female,no,yes,57,1,3,0,0,0,0,1,1
male,no,no,56,3,5,2,3,2,3,2,3
male,no,no,52,0.5,0.5,0,1,0.5,0.5,2,1
female,no,no,14,1,3,0,0.5,1,2,5,3
female,no,yes,53,3,5,1,0.5,2,3,4,4
male,no,no,51,1,3,1,4,0.5,0.5,4,5
female,no,no,45,2,3,0,0,0.5,1,1,1
female,yes,yes,49,5,7,0,0,0.5,2,3,5
female,no,no,33,7,7,1,0,0.5,0.5,7,7
female,no,no,42,1,1,0.5,0.5,1,1,4,5
male,yes,yes,54,2,1,0,0.5,1,2,3,2
male,yes,yes,41,2,4,0,1,0,0,0,0
male,yes,no,47,1,3,0.5,3,0,0,7,7
male,no,no,61,3,4,0,1,3,5,0.5,1
male,yes,yes,50,2,4,1,2,3,3,2,3
female,no,no,48,0.5,2,1,0.5,1,1,2,2
female,no,no,47,1,3,0,0,2,2,2,4
female,no,no,53,2,4,0,0,3,4,2,3
female,no,no,61,1,3,0,0,1,1,1,1
male,yes,no,59,7,6,4,3,0.5,1,0.5,0.5
male,no,no,52,2,2,0.5,0.5,0.5,0.5,1,0.5
female,no,no,47,1,2,0,0,2,1,2,3
female,no,no,44,3,5,0,0,0.5,2,5,7
male,no,no,58,4,7,5,7,2,3,1,1
female,no,no,55,2,3,0,0,0,1,0,0
female,no,yes,48,4,6,0,0,2,2,2,3
male,no,no,59,2,3,1,2,0.5,1,0.5,0.5
female,no,no,48,0,1,0,0,2,2,0,0
female,yes,yes,53,2,3,2,1,0,0,4,5
female,no,no,19,3,4,0,0,2,1,7,7
female,no,no,51,2,3,0,0,1,2,0,0
female,no,yes,54,1,2,0.5,0.5,1,0.5,0.5,0.5
female,no,no,43,3,4,0.5,0.5,1,1,5,6
female,no,yes,54,3,3,0,0,0.5,0,7,7
female,no,yes,33,4,7,0,0,0,2,0,0
female,no,yes,56,2,2,0,0,2,2,2,2
female,no,no,46,2,4,0,0,1,1,5,7
male,yes,no,45,1,3,2,3,0.5,0.5,3,5
male,no,yes,46,3,4,0.5,2,0,0.5,2,3
female,yes,no,37,2,1,0,0,1,1,0,0
male,no,no,42,3,3,0,0,0,0,7,7
male,no,yes,46,4,2,6,7,4,4,7,7
male,no,no,45,5,6,2,4,0.5,0.5,5,7
female,no,yes,51,3,5,0,0,0.5,1,6,6
male,no,no,47,4,5,1,3,1,2,4,4
male,no,no,57,4,5,3,2,0,0,6,7
male,yes,yes,48,1,4,0,1,0.5,2,0,1
female,yes,no,38,1,2,0.5,5,4,5,4,4
female,no,yes,19,0.5,4,3,0,1,0,0.5,0
female,no,yes,32,2,4,1,2,1,3,1,0.5
male,no,yes,48,1,1,3,7,1,2,4,6
male,no,yes,59,2,3,1,5,3,1,0,0
male,yes,yes,49,7,7,0,0,0,0,7,7
male,no,no,45,5,6,3,3,1,2,5,4
male,no,yes,47,0,1,2,4,6,7,0,0
female,no,yes,66,3,3,0,0,1,2,2,3
male,yes,yes,51,4,7,0,0,1,2,2,4
female,yes,yes,54,2,3,0,0,0,0,0.5,1
male,no,no,60,2,3,0.5,1,2,2,1,1
male,no,yes,50,1,2,4,5,0.5,1,1,1
male,no,no,58,4,5,2,3,0,0,2,2
male,no,no,55,2,3,2,4,1,1,0.5,1
female,yes,yes,46,1,2,0,0,4,6,2,4
female,no,no,52,3,7,0,0,0,0,2,3
female,no,no,51,4,5,0,0,0.5,0.5,3,3
female,no,no,29,1,0.5,0,0,0,0,5,7
male,yes,yes,45,5,6,0,0,6,6,7,7
male,no,yes,58,4,4,1,2,1,2,2,3
male,yes,yes,32,5,7,1,2,1,1,1,2
female,no,no,42,5,5,2,4,5,7,7,7
female,no,yes,26,1,1,0,0,5,5,7,7
female,yes,yes,53,5,4,0,0,5,4,3,6
male,no,no,56,2,3,1,3,2,3,0.5,1
male,no,yes,37,2,5,1,2,3,2,4,4
female,no,no,58,1,1,0,0.5,0,0.5,1,2
male,yes,no,51,0.5,2,0,1,4,3,0,0.5
male,no,yes,58,4,6,1,3,6,7,0,0
female,yes,yes,22,0.5,1,2,1,3,4,0.5,0
female,no,yes,48,3,4,0,0.5,1,1,7,7
male,no,yes,34,3,5,4,6,3,4,1,2
male,no,no,41,3,5,3,3,1,1,3,3
male,no,no,42,4,3,2,2,0.5,0.5,2,2
male,yes,no,51,3,7,3,6,0.5,2,2,6
male,no,yes,55,1,4,1,3,0.5,1,2,3
female,no,no,43,3,3,0,0,0.5,0,7,7
female,no,no,36,2,3,0,0,0,0,7,7
female,no,yes,38,0.5,0.5,0,0,2,0.5,4,7
male,no,no,65,0,2,5,7,0.5,0.5,0,0
male,yes,yes,53,2,3,1,2,0,0,7,7
male,yes,yes,61,5,6,1,2,1,2,4,5
female,no,no,49,1,2,0,0,2,2,2,4
male,no,no,63,4,2,0,5,2,3,2,3
male,no,no,40,4,5,0.5,2,4,5,0,0
male,no,no,45,4,7,4,7,7,7,7,7
male,no,yes,54,1,2,2,3,1,2,0,0
male,no,no,63,3,2,1,2,2,2,2,2
female,yes,yes,50,2,6,0,0,1,2,0,0
female,yes,no,37,4,2,0,0.5,0.5,1,3,5
female,yes,no,54,2,5,0,0,1,1,1,4
male,no,yes,41,0.5,1,2,4,0.5,1,1,1
male,no,no,53,1,3,1,2,0,0,0.5,0.5
male,no,yes,43,3,7,3,7,3,7,7,7
male,yes,yes,33,3,2,0,0,1,1,4,6
female,no,yes,38,2,1,1,0,2,0.5,7,5
female,no,no,41,1,2,0,0,4,7,6,6
male,yes,no,64,3,6,1,2,2,3,0,0
male,no,no,34,2,4,2,3,3,3,4,5
